,shop_id,name,review_count,rating,latitude,longitude,price
155,0S4MwamlsiHD8g2KZNPtIA,Parlor Coffee,11,4.5,40.69748,-73.97041,$
156,ppmoKH5MbxPX_Z2XOfs1LA,Outpost Café,364,4.0,40.6818428039551,-73.9602966308594,$
157,lCyiAsEUv8saCamKEU9KUQ,Maman,19,4.0,40.72381,-74.00836,None
158,rF7YK9EubHQ74FwXYmg-eA,Mudpark,32,4.5,40.7232326101973,-73.9886693969846,$
159,FkxRk1CUEhgBWRzFadkAaQ,Paper Coffee,74,4.5,40.7463281632382,-73.9896308128189,$$
160,e7sid4jVRA5YwkFAli670w,Bloom Cafe,20,4.5,40.6834329303781,-73.9672748008653,None
161,MjkCDpn7zYYXj2bBP3Oadw,Black Star Bakery & Cafe,8,5.0,40.7749269639842,-73.948163241148,None
162,mj49a6fFkydUPuaDyuIy8Q,For Five Coffee Roasters,181,4.5,40.7578419,-73.983183891235,$$
163,bG68AUaOLsxqWKZ1iN-Ikg,Bridge Coffee Shop,27,4.5,40.7022171020508,-73.9844665527344,$
164,MFB3OOo5ZQxfCAYEDa8ZFA,Gasoline Alley Coffee,253,4.0,40.725419,-73.994874,$$
165,U1exuSaIwTwpjxvlrKeftg,PPL,9,5.0,40.712885,-73.958529,None
166,3IHtxjuE25_phqDyn6TZRw,Partners Coffee,124,4.0,40.7349,-74.00228,$$
167,IJmnnNx5RlvcckyTt3yjLQ,LĒNA Coffee Bar,103,4.5,40.732439,-73.996744,$
168,SkGPIen8LUVLCV3ot-DKtw,Marcy & Myrtle Cafe,61,4.5,40.6951266257375,-73.9492401651453,$
169,eeF68ww4RKu3ymh8W_6Zmw,St Kilda Coffee,10,5.0,40.74395,-73.99969,None
170,PEjLI4NU0nZPF5Jl3zBFzQ,Hardwater Coffee,7,4.0,40.71279,-73.96252,None
171,JpqjXHoQQh7oGE9tgXG5Rg,Windsor Coffee,42,4.5,40.6491,-73.97766,$$$
172,qmk8FmYNNBOVNkkw8qxpvA,Cafe Grumpy,41,4.5,40.7204165,-73.996108,$
173,b_E6Ogi2nCO1Sz9NTLUlrQ,Birch Coffee,320,4.0,40.7932744193585,-73.9674930983641,$$
